"","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","Quality"
"1",0.7,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,"B"
"2",0.88,0,2.6,0.098,67,0.9968,3.2,0.68,9.8,"B"
"3",0.76,0.04,2.3,0.092,54,0.997,3.26,0.65,9.8,"B"
"4",0.28,0.56,1.9,0.075,60,0.998,3.16,0.58,9.8,"G"
"5",0.7,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,"B"
"6",0.66,0,1.8,0.075,40,0.9978,3.51,0.56,9.4,"B"
"7",0.6,0.06,1.6,0.069,59,0.9964,3.3,0.46,9.4,"B"
"8",0.65,0,1.2,0.065,21,0.9946,3.39,0.47,10,"G"
"9",0.58,0.02,2,0.073,18,0.9968,3.36,0.57,9.5,"G"
"10",0.5,0.36,6.1,0.071,102,0.9978,3.35,0.8,10.5,"B"
"11",0.58,0.08,1.8,0.097,65,0.9959,3.28,0.54,9.2,"B"
"12",0.5,0.36,6.1,0.071,102,0.9978,3.35,0.8,10.5,"B"
"13",0.615,0,1.6,0.089,59,0.9943,3.58,0.52,9.9,"B"
"14",0.61,0.29,1.6,0.114,29,0.9974,3.26,1.56,9.1,"B"
"15",0.62,0.18,3.8,0.176,145,0.9986,3.16,0.88,9.2,"B"
"16",0.62,0.19,3.9,0.17,148,0.9986,3.17,0.93,9.2,"B"
"17",0.28,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5,"G"
"18",0.56,0.28,1.7,0.368,56,0.9968,3.11,1.28,9.3,"B"
"19",0.59,0.08,4.4,0.086,29,0.9974,3.38,0.5,9,"B"
"20",0.32,0.51,1.8,0.341,56,0.9969,3.04,1.08,9.2,"G"
"21",0.22,0.48,1.8,0.077,60,0.9968,3.39,0.53,9.4,"G"
"22",0.39,0.31,2.3,0.082,71,0.9982,3.52,0.65,9.7,"B"
"23",0.43,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,"B"
"24",0.49,0.11,2.3,0.084,67,0.9968,3.17,0.53,9.4,"B"
"25",0.4,0.14,2.4,0.085,40,0.9968,3.43,0.63,9.7,"G"
"26",0.39,0.16,1.4,0.08,23,0.9955,3.34,0.56,9.3,"B"
"27",0.41,0.24,1.8,0.08,11,0.9962,3.28,0.59,9.5,"B"
"28",0.43,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,"B"
"29",0.71,0,1.9,0.08,35,0.9972,3.47,0.55,9.4,"B"
"30",0.645,0,2,0.082,16,0.9964,3.38,0.59,9.8,"G"
"31",0.675,0.07,2.4,0.089,82,0.9958,3.35,0.54,10.1,"B"
"32",0.685,0,2.5,0.105,37,0.9966,3.46,0.57,10.6,"G"
"33",0.655,0.12,2.3,0.083,113,0.9966,3.17,0.66,9.8,"B"
"34",0.605,0.12,10.7,0.073,83,0.9993,3.45,0.52,9.4,"G"
"35",0.32,0.25,1.8,0.103,50,0.9957,3.38,0.55,9.2,"B"
"36",0.645,0,5.5,0.086,18,0.9986,3.4,0.55,9.6,"G"
"37",0.6,0.14,2.4,0.086,15,0.9975,3.42,0.6,10.8,"G"
"38",0.38,0.28,2.1,0.066,30,0.9968,3.23,0.73,9.7,"G"
"39",1.13,0.09,1.5,0.172,19,0.994,3.5,0.48,9.8,"B"
"40",0.45,0.36,5.9,0.074,87,0.9978,3.33,0.83,10.5,"B"
"41",0.45,0.36,5.9,0.074,87,0.9978,3.33,0.83,10.5,"B"
"42",0.61,0.3,2.8,0.088,46,0.9976,3.26,0.51,9.3,"B"
"43",0.49,0.2,2.6,0.332,14,0.9968,3.21,0.9,10.5,"G"
"44",0.66,0.22,2.2,0.069,23,0.9968,3.3,1.2,10.3,"B"
"45",0.67,0.02,1.8,0.05,11,0.9962,3.48,0.52,9.5,"B"
"46",0.52,0.15,2.1,0.054,65,0.9934,3.9,0.56,13.1,"B"
"47",0.935,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2,"B"
"48",0.29,0.52,1.6,0.113,37,0.9969,3.25,0.58,9.5,"B"
"49",0.4,0.23,1.6,0.066,12,0.9958,3.34,0.56,9.2,"B"
"50",0.31,0.37,1.4,0.074,96,0.9954,3.32,0.58,9.2,"B"
"51",0.66,0.26,1.7,0.074,23,0.9971,3.15,0.74,9.2,"B"
"52",0.52,0.04,2.2,0.069,15,0.9956,3.4,0.63,9.4,"G"
"53",0.5,0.04,2.1,0.068,14,0.9955,3.39,0.64,9.4,"G"
"54",0.38,0.36,3,0.081,119,0.997,3.2,0.56,9.4,"B"
"55",0.51,0.15,2.8,0.11,73,0.9955,3.17,0.63,10.2,"G"
"56",0.62,0.04,3.8,0.084,45,0.9978,3.34,0.53,9.5,"B"
"57",0.42,0.57,3.4,0.07,10,0.9971,3.04,0.63,9.6,"B"
"58",0.63,0.12,5.1,0.111,110,0.9983,3.26,0.77,9.4,"B"
"59",0.59,0.18,2.3,0.076,54,0.9975,3.43,0.59,10,"B"
"60",0.39,0.31,2.4,0.074,46,0.9962,3.41,0.54,9.4,"G"
"61",0.4,0.4,2.2,0.079,52,0.998,3.44,0.64,9.2,"B"
"62",0.69,0.49,1.8,0.115,112,0.9968,3.21,0.71,9.3,"B"
"63",0.52,0.16,1.9,0.085,35,0.9968,3.38,0.62,9.5,"G"
"64",0.735,0.05,2,0.081,54,0.9966,3.39,0.57,9.8,"B"
"65",0.725,0.05,4.65,0.086,11,0.9962,3.41,0.39,10.9,"B"
"66",0.725,0.05,4.65,0.086,11,0.9962,3.41,0.39,10.9,"B"
"67",0.52,0.11,1.5,0.079,39,0.9968,3.42,0.58,9.6,"B"
"68",0.705,0.07,1.6,0.076,15,0.9962,3.44,0.58,10.7,"B"
"69",0.32,0.57,2,0.074,65,0.9969,3.28,0.79,10.7,"B"
"70",0.705,0.05,1.9,0.074,19,0.9962,3.34,0.95,10.5,"G"
"71",0.63,0.08,1.9,0.076,27,0.9967,3.32,0.54,9.5,"G"
"72",0.67,0.23,2.1,0.088,96,0.9962,3.32,0.48,9.5,"B"
"73",0.69,0.22,1.9,0.084,94,0.9961,3.31,0.48,9.5,"B"
"74",0.675,0.26,2.1,0.084,43,0.9976,3.31,0.53,9.2,"B"
"75",0.32,0.54,2.5,0.094,83,0.9984,3.28,0.82,9.6,"B"
"76",0.41,0.64,2.2,0.093,42,0.9986,3.54,0.66,10.5,"B"
"77",0.41,0.64,2.2,0.093,42,0.9986,3.54,0.66,10.5,"B"
"78",0.785,0,2.4,0.104,30,0.9966,3.52,0.55,10.7,"G"
"79",0.75,0.12,2,0.086,80,0.9958,3.38,0.52,10.1,"B"
"80",0.625,0.2,1.5,0.08,119,0.9972,3.16,1.12,9.1,"B"
"81",0.45,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,"B"
"82",0.43,0.7,1.9,0.464,67,0.9974,3.13,1.28,9.4,"B"
"83",0.5,0.47,2,0.086,73,0.997,3.36,0.57,9.1,"B"
"84",0.67,0.26,1.8,0.401,51,0.9969,3.16,1.14,9.4,"B"
"85",0.3,0.48,1.8,0.069,61,0.9959,3.44,0.78,10.3,"G"
"86",0.55,0.15,2.2,0.076,40,0.9961,3.41,0.59,10.1,"B"
"87",0.49,0.28,1.9,0.11,136,0.9972,2.93,1.95,9.9,"G"
"88",0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"B"
"89",0.39,0.44,2.1,0.107,125,0.9978,3.14,1.22,9.5,"B"
"90",0.62,0.08,1.8,0.076,24,0.9978,3.48,0.53,9,"B"
"91",0.52,0.26,1.9,0.079,140,0.9964,3.23,0.54,9.5,"B"
"92",0.49,0.28,1.9,0.11,136,0.9972,2.93,1.95,9.9,"G"
"93",0.49,0.29,2,0.11,133,0.9972,2.93,1.98,9.8,"B"
"94",0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6,"B"
