"","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","density","pH","sulphates","alcohol","Quality"
"1",0.7,0,1.9,0.076,11,0.9978,3.51,0.56,9.4,"B"
"2",0.88,0,2.6,0.098,25,0.9968,3.2,0.68,9.8,"B"
"3",0.76,0.04,2.3,0.092,15,0.997,3.26,0.65,9.8,"B"
"4",0.28,0.56,1.9,0.075,17,0.998,3.16,0.58,9.8,"G"
"5",0.7,0,1.9,0.076,11,0.9978,3.51,0.56,9.4,"B"
"6",0.66,0,1.8,0.075,13,0.9978,3.51,0.56,9.4,"B"
"7",0.6,0.06,1.6,0.069,15,0.9964,3.3,0.46,9.4,"B"
"8",0.65,0,1.2,0.065,15,0.9946,3.39,0.47,10,"G"
"9",0.58,0.02,2,0.073,9,0.9968,3.36,0.57,9.5,"G"
"10",0.5,0.36,6.1,0.071,17,0.9978,3.35,0.8,10.5,"B"
"11",0.58,0.08,1.8,0.097,15,0.9959,3.28,0.54,9.2,"B"
"12",0.5,0.36,6.1,0.071,17,0.9978,3.35,0.8,10.5,"B"
"13",0.615,0,1.6,0.089,16,0.9943,3.58,0.52,9.9,"B"
"14",0.61,0.29,1.6,0.114,9,0.9974,3.26,1.56,9.1,"B"
"15",0.62,0.18,3.8,0.176,52,0.9986,3.16,0.88,9.2,"B"
"16",0.62,0.19,3.9,0.17,51,0.9986,3.17,0.93,9.2,"B"
"17",0.28,0.56,1.8,0.092,35,0.9969,3.3,0.75,10.5,"G"
"18",0.56,0.28,1.7,0.368,16,0.9968,3.11,1.28,9.3,"B"
"19",0.59,0.08,4.4,0.086,6,0.9974,3.38,0.5,9,"B"
"20",0.32,0.51,1.8,0.341,17,0.9969,3.04,1.08,9.2,"G"
"21",0.22,0.48,1.8,0.077,29,0.9968,3.39,0.53,9.4,"G"
"22",0.39,0.31,2.3,0.082,23,0.9982,3.52,0.65,9.7,"B"
"23",0.43,0.21,1.6,0.106,10,0.9966,3.17,0.91,9.5,"B"
"24",0.49,0.11,2.3,0.084,9,0.9968,3.17,0.53,9.4,"B"
"25",0.4,0.14,2.4,0.085,21,0.9968,3.43,0.63,9.7,"G"
"26",0.39,0.16,1.4,0.08,11,0.9955,3.34,0.56,9.3,"B"
"27",0.41,0.24,1.8,0.08,4,0.9962,3.28,0.59,9.5,"B"
"28",0.43,0.21,1.6,0.106,10,0.9966,3.17,0.91,9.5,"B"
"29",0.71,0,1.9,0.08,14,0.9972,3.47,0.55,9.4,"B"
"30",0.645,0,2,0.082,8,0.9964,3.38,0.59,9.8,"G"
"31",0.675,0.07,2.4,0.089,17,0.9958,3.35,0.54,10.1,"B"
"32",0.685,0,2.5,0.105,22,0.9966,3.46,0.57,10.6,"G"
"33",0.655,0.12,2.3,0.083,15,0.9966,3.17,0.66,9.8,"B"
"34",0.605,0.12,10.7,0.073,40,0.9993,3.45,0.52,9.4,"G"
"35",0.32,0.25,1.8,0.103,13,0.9957,3.38,0.55,9.2,"B"
"36",0.645,0,5.5,0.086,5,0.9986,3.4,0.55,9.6,"G"
"37",0.6,0.14,2.4,0.086,3,0.9975,3.42,0.6,10.8,"G"
"38",0.38,0.28,2.1,0.066,13,0.9968,3.23,0.73,9.7,"G"
"39",1.13,0.09,1.5,0.172,7,0.994,3.5,0.48,9.8,"B"
"40",0.45,0.36,5.9,0.074,12,0.9978,3.33,0.83,10.5,"B"
"41",0.45,0.36,5.9,0.074,12,0.9978,3.33,0.83,10.5,"B"
"42",0.61,0.3,2.8,0.088,17,0.9976,3.26,0.51,9.3,"B"
"43",0.49,0.2,2.6,0.332,8,0.9968,3.21,0.9,10.5,"G"
"44",0.66,0.22,2.2,0.069,9,0.9968,3.3,1.2,10.3,"B"
"45",0.67,0.02,1.8,0.05,5,0.9962,3.48,0.52,9.5,"B"
"46",0.52,0.15,2.1,0.054,8,0.9934,3.9,0.56,13.1,"B"
"47",0.935,0.43,2.2,0.114,22,0.997,3.25,0.73,9.2,"B"
"48",0.29,0.52,1.6,0.113,12,0.9969,3.25,0.58,9.5,"B"
"49",0.4,0.23,1.6,0.066,5,0.9958,3.34,0.56,9.2,"B"
"50",0.31,0.37,1.4,0.074,12,0.9954,3.32,0.58,9.2,"B"
"51",0.66,0.26,1.7,0.074,4,0.9971,3.15,0.74,9.2,"B"
"52",0.52,0.04,2.2,0.069,8,0.9956,3.4,0.63,9.4,"G"
"53",0.5,0.04,2.1,0.068,6,0.9955,3.39,0.64,9.4,"G"
"54",0.38,0.36,3,0.081,30,0.997,3.2,0.56,9.4,"B"
"55",0.51,0.15,2.8,0.11,33,0.9955,3.17,0.63,10.2,"G"
"56",0.62,0.04,3.8,0.084,25,0.9978,3.34,0.53,9.5,"B"
"57",0.42,0.57,3.4,0.07,4,0.9971,3.04,0.63,9.6,"B"
"58",0.63,0.12,5.1,0.111,50,0.9983,3.26,0.77,9.4,"B"
"59",0.59,0.18,2.3,0.076,17,0.9975,3.43,0.59,10,"B"
"60",0.39,0.31,2.4,0.074,9,0.9962,3.41,0.54,9.4,"G"
"61",0.4,0.4,2.2,0.079,19,0.998,3.44,0.64,9.2,"B"
"62",0.69,0.49,1.8,0.115,20,0.9968,3.21,0.71,9.3,"B"
"63",0.52,0.16,1.9,0.085,12,0.9968,3.38,0.62,9.5,"G"
"64",0.735,0.05,2,0.081,13,0.9966,3.39,0.57,9.8,"B"
"65",0.725,0.05,4.65,0.086,4,0.9962,3.41,0.39,10.9,"B"
"66",0.725,0.05,4.65,0.086,4,0.9962,3.41,0.39,10.9,"B"
"67",0.52,0.11,1.5,0.079,11,0.9968,3.42,0.58,9.6,"B"
"68",0.705,0.07,1.6,0.076,6,0.9962,3.44,0.58,10.7,"B"
"69",0.32,0.57,2,0.074,27,0.9969,3.28,0.79,10.7,"B"
"70",0.705,0.05,1.9,0.074,8,0.9962,3.34,0.95,10.5,"G"
"71",0.63,0.08,1.9,0.076,15,0.9967,3.32,0.54,9.5,"G"
"72",0.67,0.23,2.1,0.088,17,0.9962,3.32,0.48,9.5,"B"
"73",0.69,0.22,1.9,0.084,18,0.9961,3.31,0.48,9.5,"B"
